pickup_datetime,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,weekend,hour_of_the_day,dist_km
2010-04-19T08:17:56Z,6.5,-73.992365,40.730521,-73.975499,40.744746,1,0,8,2.128693548602435
2010-04-17T15:43:53Z,6.9,-73.990078,40.740558,-73.974232,40.744114,1,1,15,1.3938665724394979
2010-04-17T11:23:26Z,10.1,-73.994149,40.751118,-73.960064,40.766235,2,1,11,3.3304901885214004
2010-04-11T21:25:03Z,8.9,-73.990485,40.756422,-73.971205,40.748192,1,1,21,1.8662175084039165
2010-04-17T02:19:01Z,19.7,-73.990976,40.734202,-73.905956,40.743115,1,1,2,7.2394217955538185
2010-04-22T08:39:47Z,8.1,-73.980481,40.748995,-73.983508,40.766459,1,0,8,1.9607676416832314
2010-04-23T19:27:00Z,4.9,-73.959535,40.779582,-73.947185,40.780223,1,0,19,1.043471216531416
2010-04-15T09:03:37Z,4.9,-74.002601,40.739419,-73.997912,40.730292,1,0,9,1.0902842508910915
2010-04-20T08:58:00Z,2.9,-74.014005,40.704058,-74.013202,40.702877,1,0,8,0.14790577085003423
2010-04-16T18:50:16Z,6.1,-73.977689,40.784175,-73.988639,40.778669,1,0,18,1.1079706989033782
2010-04-22T22:26:23Z,7.3,-74.007913,40.740409,-73.985561,40.752076,1,0,22,2.289181629597859
2010-04-15T17:40:18Z,3.7,-73.954965,40.76503,-73.962556,40.766464,1,0,17,0.6596181395727144
2010-04-23T12:12:08Z,17.3,-73.997107,40.722116,-73.976628,40.775252,1,0,12,6.16204769362937
2010-04-18T02:35:26Z,4.1,-73.989126,40.730024,-73.981524,40.732671,1,1,2,0.705728695814023
2010-04-21T10:12:59Z,6.9,-73.990641,40.755181,-73.973317,40.763224,2,0,10,1.7133187587757106
2010-04-20T23:31:17Z,9.3,-73.973145,40.761542,-73.940974,40.79271,1,0,23,4.4037173599740544
2010-04-15T21:54:26Z,14.1,-74.002233,40.734468,-73.961872,40.764459,2,0,21,4.767765538453906
2010-04-15T08:55:51Z,5.7,-73.961552,40.768434,-73.969448,40.763188,1,0,8,0.8855647786039984
2010-04-14T23:12:52Z,2.9,-73.988522,40.741219,-73.983734,40.739019,1,0,23,0.4722970396415724
2010-04-14T01:22:00Z,3.7,-73.98613,40.722437,-73.980585,40.730057,5,0,1,0.9686898269088243
2010-04-20T11:27:29Z,36,-73.874537,40.774075,-73.985187,40.760783000000004,1,0,11,9.445477088716547
2010-04-12T09:37:56Z,11.3,-74.006172,40.717227,-73.979662,40.760502,1,0,9,5.31098914729479
2010-04-13T13:55:05Z,4.9,-73.998762,40.734666,-73.988645,40.735559,1,0,13,0.8591457334462612
2010-04-20T16:33:00Z,14.5,-73.987602,40.755443,-74.010645,40.702258,2,0,16,6.231475604704046
2010-04-21T14:03:52Z,4.9,-73.957767,40.773552,-73.965617,40.76557,1,0,14,1.1079335286392393
2010-04-24T09:16:19Z,4.5,-74.003534,40.726936,-73.995011,40.73976,1,1,9,1.598375666186757
2010-04-11T21:38:28Z,7.3,-73.957105,40.772402,-73.984277,40.767459,1,1,21,2.3559348443963444
2010-04-22T23:36:50Z,36.19,-73.997149,40.722444,-73.904307,40.88707,1,0,23,19.926005472070525
2010-04-23T19:11:42Z,8.5,-73.986207,40.726464,-73.999319,40.740836,2,0,19,1.9449754894220945
2010-04-20T22:21:56Z,3.7,-73.959061,40.771894,-73.955128,40.768903,2,0,22,0.46989581218858806
2010-04-17T17:32:17Z,25.47,-73.905894,40.767998,-73.970483,40.764106,1,1,17,5.46279595227161
2010-04-23T10:43:26Z,4.1,-73.984325,40.733154,-73.991004,40.724207,1,0,10,1.1443002733366687
2010-04-18T01:15:04Z,10.9,-73.977654,40.787098,-73.942192,40.798901,4,1,1,3.2647050264752333
2010-04-22T17:36:39Z,7.3,-73.948963,40.781815,-73.976233,40.788441,1,0,17,2.413962075792383
2010-04-12T19:59:46Z,5.6,-73.992873,40.702652,-73.993012,40.69856,1,0,19,0.4556703809053095
2010-04-14T23:06:23Z,5.7,-73.997268,40.747084,-73.978688,40.752341,1,0,23,1.6726066606431342
2010-04-12T15:32:00Z,9.7,-73.961225,40.765078,-73.98538,40.753045,2,0,15,2.4377559596260734
2010-04-25T00:53:57Z,7.3,-73.994518,40.72494,-74.011771,40.713589,1,1,0,1.9275799451532707
2010-04-13T16:30:09Z,7.7,-73.99479,40.740427,-73.986983,40.756418,1,0,16,1.8979656543721237
2010-04-23T17:27:00Z,12.9,-73.965633,40.758602,-74.003723,40.742728,5,0,17,3.6661409923777657
2010-04-22T10:05:34Z,4.9,-73.946284,40.777335,-73.94722,40.784201,1,0,10,0.7683810114188189
2010-04-15T12:49:31Z,15.3,-73.966694,40.756696,-73.972812,40.792699,1,0,12,4.040884111660542
2010-04-20T17:08:00Z,12.9,-73.957722,40.776365,-73.994088,40.746267,1,0,17,4.541797187931564
2010-04-20T18:53:48Z,6.5,-73.998579,40.755664,-73.999175,40.739419,1,0,18,1.8090835244371357
2010-04-18T15:51:08Z,6.5,-73.958505,40.772691,-73.959218,40.777736,2,1,15,0.5648140681734216
2010-04-14T19:26:10Z,6.5,-73.962495,40.776293,-73.981732,40.780269,1,0,19,1.6809181429809945
2010-04-19T19:17:03Z,6.5,-73.972368,40.787217,-73.983979,40.736176,1,0,19,5.7655840803756915
2010-04-20T12:59:44Z,6.9,-73.978707,40.740896,-73.990365,40.731084,2,0,12,1.4696997816588189
2010-04-22T18:46:55Z,6.9,-73.967681,40.80265,-73.951028,40.825629,1,0,18,2.9175137067767185
2010-04-11T20:13:49Z,10.9,-74.011318,40.715533,-74.010778,40.704945,1,1,20,1.1795312321381062
2010-04-11T12:23:31Z,5.3,-73.991315,40.750363,-73.979872,40.761105,1,1,12,1.5365556999064809
2010-04-24T12:04:28Z,7.3,-74.007911000000007,40.723247,-73.995586,40.723292,1,1,12,1.039818576878312
